country,tls13,ipv6,http3,iqi_p50,region
PA,71.0822493773585,4.985494603773585,23.22058550943396,9.241035943396227,LATAM
PE,65.88868254716981,31.1415329245283,29.061166358490567,16.751414471698112,LATAM
PF,62.462299188679246,4.599997037735849,32.88367349056604,5.440290188679245,Other
PG,55.24940143396226,18.877259452830188,36.56849967924528,5.54261479245283,Other
PH,68.9784042264151,17.137938207547172,27.32643583018868,17.280458018867925,APAC-Em
PK,62.592202754716986,22.527800018867925,27.554920094339625,6.871020094339623,APAC-Em
PL,67.33568158490566,15.58916137735849,27.849006320754718,18.11528452830189,EU-East
PM,59.47916573584905,3.0542833396226414,35.81680526415094,18.91802826,Other
PN,56.27809301886792,80.40501962264152,29.746978018867924,17.978118,Other
PR,67.45864001886792,45.71765798113207,27.074549358490565,11.337157245283018,Other
PS,59.68950850943396,1.002861,33.3076827735849,8.576441226415094,Other
PT,67.4243166981132,33.0855861509434,27.091131490566035,29.264702150943396,EU-West
PW,62.61388556603773,2.034731037735849,32.931801433962264,5.141448226415094,Other
PY,72.8253857735849,37.1642891509434,20.817386886792455,13.088638698113208,LATAM
QA,67.09640062264151,34.441173735849056,27.09933035849057,18.707993000000002,MENA
RE,57.13514224528302,16.408216320754715,37.63115852830189,9.730190132075471,Other
RO,62.84938403773585,24.632044603773586,28.460842943396226,21.08620283018868,EU-East
RS,61.474094660377354,5.904211283018868,31.60766237735849,22.191609773584908,EU-East
RU,63.49497260377359,7.594423584905661,17.563042811320756,11.846104471698112,EU-East
RW,67.81194318867924,17.334467415094338,25.224042396226416,5.1593641509433965,Other
SA,69.84341464150944,56.84627737735849,23.971840433962264,7.7237039622641515,MENA
SB,59.366681566037734,15.051007056603774,26.473477679245285,6.765724075471698,Other
SC,65.91770052830189,11.494187849056605,26.54197916981132,6.9445667547169805,Other
SD,64.19200471698113,12.182582,27.120150584905662,4.395020188679245,Other
SE,70.81803481132076,24.399234150943396,22.35385266037736,35.44373937735849,EU-West
SG,78.38988513207548,6.644292358490566,6.911944301886793,52.38598275471698,APAC-Dev
SH,76.12317394339622,6.2871740377358485,16.73263179245283,,Other
SI,66.09506158490565,11.052737849056605,29.402832226415097,25.5017821509434,EU-East
SJ,71.89193813207548,34.04789626415094,19.13266658490566,7.650543600000001,Other
SK,66.21856849056604,10.318309641509433,29.909565226415097,24.72857145283019,EU-East
SL,68.47709375471698,3.1344519056603772,20.207484075471697,3.687060075471698,Other
SM,61.5491788490566,1.5859533018867924,31.910476830188678,43.289175339622645,Other
SN,65.56496939622642,25.398952981132076,25.351018075471696,6.6326175471698114,Africa
SO,53.466929867924534,0.9679134150943396,38.71559639622642,4.238933490566038,Other
