country_iso2,WINDOWS,ANDROID,MACOSX,IOS,LINUX,CHROMEOS,SMART_TV,tls13,IPv6,HTTP/3,bw_p50
HN,34.59369518867924,43.15909149056604,5.173797396226415,14.40125937735849,2.032217113207547,0.507574641509434,0.13236456603773586,69.76707639622641,16.025882566037733,24.21819850943396,10.807038471698114
HR,29.991225188679245,51.00596560377359,4.419078679245283,12.871020226415094,1.6126964716981134,0.05698766037735849,0.04302607547169811,61.99672650943396,4.850204113207547,28.577152226415095,18.52410345283019
HT,14.556903509433962,68.87422601886793,2.3140052641509437,12.534708358490567,1.2641196981132077,0.4385833962264151,0.017453830188679246,66.67346556603773,8.990924886792452,19.51472903773585,6.406976924528301
HU,42.577415679245284,35.06353503773585,5.5164942264150945,14.412769509433963,2.2683656415094338,0.08297871698113207,0.07844145283018868,68.96418356603773,45.00262073584906,26.86510113207547,27.284644981132075
ID,26.971667999999998,59.55678481132075,3.965665754716981,6.947986509433963,2.371979603773585,0.16463477358490566,0.021280509433962265,67.81029490566038,16.216915981132075,25.33386275471698,11.972372679245282
IE,35.3898629245283,26.495126339622644,11.949584358490567,19.326013037735848,6.106731113207547,0.6982838867924528,0.03439839622641509,70.31196471698114,10.22917720754717,8.191444226415095,30.72809213207547
IL,43.23722205660377,26.57250775471698,9.10540733962264,19.22099667924528,1.7295057735849055,0.0798374716981132,0.05452290566037736,69.60835388679246,39.18258041509434,23.111021867924528,31.78082137735849
IM,50.89012464150943,14.323803358490565,11.215417264150943,22.14094420754717,0.7965925660377359,0.5865605660377359,0.046557528301886794,49.9317788490566,8.56134658490566,13.558752698113206,24.0961310754717
IN,21.220004396226415,66.45981701886792,3.435116547169811,7.043510735849056,1.6010246603773586,0.19919273584905658,0.04133381132075471,66.8315946226415,64.84600326415095,27.011551094339623,10.425757283018866
IO,24.227095584905662,19.86430075471698,5.627183018867925,17.16345771698113,0.5367365660377358,0.5057546603773585,0.0,49.99618690566037,32.99840650943396,14.607459943396227,
IQ,23.568082018867923,47.37467637735849,5.464174660377358,21.254105679245285,2.157535754716981,0.1396222641509434,0.04180335849056603,70.74486986792452,2.4724056603773583,22.88748149056604,7.126531886792453
IR,66.44700715094339,16.441861226415092,7.903805132075472,2.9286171509433965,6.150106943396226,0.12465716981132074,0.003945245283018868,92.70663039622642,3.1035104339622643,2.834406754716981,5.735299226415095
IS,39.271761094339624,19.667145698113206,14.942411075471696,21.88550241509434,2.7457750377358487,1.3547873018867924,0.1326174716981132,65.7418626226415,11.893344226415095,28.53366083018868,18.727698150943397
IT,30.62023986792453,38.59078596226415,8.717671981132074,19.865932811320754,1.851405113207547,0.30332488679245284,0.05063922641509434,64.80867722641509,15.215552150943395,29.40237403773585,20.079818849056604
JE,31.070545396226414,15.938991754716982,18.717082113207546,32.24653333962264,0.9034279056603773,1.003071283018868,0.1203483396226415,62.94515266037736,3.7972602641509434,29.205881924528303,33.208672188679245
JM,34.593704433962266,33.73636698113208,8.320266849056605,20.603515716981132,1.0879404528301886,1.507429037735849,0.15077650943396226,71.7687908490566,17.06327262264151,22.910432811320753,10.948849698113207
JO,34.470194867924526,35.279603830188684,5.773064754716982,21.125563358490567,3.1186983396226413,0.12327515094339622,0.10959977358490566,59.5459061509434,17.53727637735849,32.35062183018868,8.942672849056603
JP,34.865683358490564,25.011612924528304,7.741808830188679,30.506176528301886,1.190582,0.6838887547169812,0.00024771698113207547,72.61586620754717,41.32418045283019,22.486143018867924,33.54051069811321
KE,33.95842252830189,56.13717856603774,3.8590477358490567,3.5413860754716984,2.168552471698113,0.251342641509434,0.08407005660377359,67.9700393018868,7.062548471698113,25.666538056603773,6.606334735849057
KG,30.96862383018868,44.61991483018868,4.356234,18.29753820754717,1.6962541886792453,0.039281113207547166,0.022153754716981135,55.518559792452834,4.458636094339623,33.925281226415095,5.609341433962264
KH,70.40307016981133,14.665788471698113,2.592596962264151,11.60002720754717,0.6874355660377359,0.03441603773584906,0.016665603773584906,61.460997584905655,0.6690685660377358,32.62444801886792,11.87584571698113
KI,36.14981979245283,56.593301679245286,1.4508569056603773,4.665546415094339,0.6714476981132076,0.4690274716981132,0.0,64.92990726415094,49.012942679245285,25.06563375471698,5.797534056603773
KM,19.749267,68.35766449056604,1.8378297924528302,9.316843622641509,0.6419384905660377,0.08976758490566038,0.006688962264150944,62.40060669811321,0.5326283962264151,24.989515150943397,4.407952962264151
KN,35.20078933962264,29.286600867924527,11.814004698113207,21.053387603773587,1.3467771509433961,1.0886991886792452,0.20974113207547168,65.27766452830188,2.6700095283018865,28.155279226415093,11.29462986792453
KP,49.18362973584905,23.072131603773585,15.581747207547169,10.842451396226414,1.320040037735849,0.0,0.0,90.62121773584906,73.33846249056604,5.376895886792453,2.1527365
KR,38.42395396226415,35.54226724528302,5.672685471698113,18.033061396226415,2.0123413207547167,0.29846690566037737,0.017223792452830188,67.38222950943396,18.765932981132075,27.595226622641512,55.302547264150945
KW,26.67002537735849,32.76688132075472,7.935163396226415,31.163102924528303,0.8880687924528301,0.527542283018868,0.0492157358490566,65.35399852830189,23.92874745283019,28.296085773584906,8.27623041509434
KY,38.05124573584906,19.038589075471698,16.112367396226414,24.752418,0.8300553018867924,1.021759358490566,0.19356516981132074,63.71239784905661,3.1072643773584905,29.57700833962264,17.961778226415095
KZ,29.401900018867927,40.22221801886793,4.5422754528301885,24.00376111320755,1.6431904150943397,0.01651411320754717,0.17014077358490567,59.39216775471698,20.89431803773585,33.36038371698113,6.550708339622641
LA,29.627630603773586,48.13291771698113,2.3879413396226417,18.682329,1.1175628679245282,0.01606054716981132,0.035558,54.534364396226415,0.6615340377358491,40.35192273584906,9.527223075471698
LB,27.394109754716983,43.27987933962264,6.462685754716981,21.224802094339623,1.5081627358490566,0.08095667924528302,0.04940354716981132,63.96082928301887,0.9630360943396227,30.80919116981132,6.163872433962265
LC,34.6415159245283,35.48129603773585,7.753830433962264,15.88574320754717,1.1152278113207548,4.9423871132075465,0.17999949056603773,64.53775266037736,19.33966637735849,30.01068056603774,7.209886226415094
LI,51.362317509433964,14.153873396226416,15.273138150943396,17.170754641509433,1.944432603773585,0.059237716981132074,0.036245943396226415,67.8544859245283,19.92106490566038,25.022637754716982,41.80324247169811
LK,40.47119232075471,41.6951917735849,4.5405224150943395,11.852995056603774,1.2401393962264151,0.1610682641509434,0.03889054716981132,55.88709760377358,47.20012516981132,39.16707428301887,6.307015150943395
LR,14.299423264150942,73.96405271698113,1.487153962264151,9.524051320754717,0.41864569811320756,0.29739890566037736,0.00927432075471698,71.56411750943396,3.7020419433962264,19.06595016981132,3.66653541509434
LS,28.895786886792454,61.1544078490566,2.452243056603774,6.262545754716981,1.0573746226415095,0.10188918867924528,0.0757527358490566,55.481151830188686,0.6218856226415095,36.81134339622641,9.220262452830188
LT,43.74944324528302,30.749644773584908,9.239537905660377,12.47853903773585,3.5843199622641513,0.08223990566037737,0.11627507547169812,68.66586652830189,17.202435056603775,23.765195603773584,23.647347679245282
LU,38.790439226415096,23.49110754716981,13.576559283018868,21.580178566037734,2.378020811320755,0.13852084905660378,0.04517358490566038,72.38169228301886,20.66102413207547,19.490848094339622,35.83344635849057
LV,50.0513189245283,25.75903971698113,7.967131018867924,12.892465981132077,2.9753525283018867,0.2415215283018868,0.11317043396226414,67.61246790566038,18.213154226415096,26.247772735849058,19.10362662264151
LY,27.918340075471697,47.07114628301886,4.14609416981132,16.56151309433962,4.162000301886793,0.12374003773584905,0.017166056603773586,69.55677241509434,1.118406924528302,22.3484460754717,6.407686396226414
MA,41.12751873584905,37.37164333962264,5.385181075471698,13.833605716981133,1.8752419811320755,0.1927631886792453,0.21404596226415093,76.89635505660377,1.041767358490566,17.169384056603775,11.785316981132075
MC,45.83174541509434,9.028752905660378,22.110876150943398,21.89207973584906,1.0534395849056604,0.07503550943396226,0.008070679245283019,68.88101133962265,3.6212765471698116,26.977580094339622,45.93765371698113
