country_iso2,mk_z_TLS 1.3,mk_p_TLS 1.3,trend_TLS 1.3,mk_z_IPv6,mk_p_IPv6,trend_IPv6,mk_z_HTTP/3,mk_p_HTTP/3,trend_HTTP/3,mk_z_bw_p50,mk_p_bw_p50,trend_bw_p50
CX,-3.329085016197573,0.0008713180311865631,↓,-0.023012108406895666,0.9816406143955174,=,0.0,1.0,=,,,=
CY,3.106634634930915,0.0018923011756801777,↑,-4.042460376811339,5.289325282520352e-05,↓,2.6463924667930017,0.008135536666896481,↑,-2.7537823060251814,0.005891093873586106,↓
CZ,-0.1917675700574639,0.8479242748024143,=,8.936368764677818,0.0,↑,4.257240055275698,2.0696608785897297e-05,↑,-4.441336922530864,8.940168690241279e-06,↓
DE,0.49859568214940614,0.6180642476094929,=,3.50551118065044,0.0004557313597848278,↑,4.732823629018209,2.214178736359429e-06,↑,-3.8737049151607708,0.00010719319472363154,↓
DJ,6.8192547912434165,9.15134634738024e-12,↑,3.2907315021860803,0.000999272412156138,↑,-2.5543440331654192,0.010638808060664084,↓,-5.57660093727105,2.452636271854658e-08,↓
DK,3.367438530209066,0.0007586993804027387,↑,2.5850268443746134,0.009737141596922516,↑,-0.13040194763907545,0.8962484257558785,=,-5.039651741110151,4.6637972950236417e-07,↓
DM,3.3214143133952745,0.0008956247828433295,↑,0.9895206614965137,0.32240846602254414,=,-0.42188865412642057,0.6731062918806701,=,-5.423186881225079,5.854572671104563e-08,↓
DO,-2.416271382724045,0.015680369603353173,↓,3.889046320765368,0.00010063891040990036,↑,4.717482223413612,2.387812569448755e-06,↑,-5.346479853202093,8.968125819741601e-08,↓
DZ,-2.5543440331654192,0.010638808060664084,↓,4.870896279459583,1.1109314956847527e-06,↑,4.0271189712067414,5.64644658662683e-05,↑,-4.640775195390626,3.471045787906135e-06,↓
EC,-2.661733872397599,0.00777393148306893,↓,8.537492218958294,0.0,↑,4.149850216043519,3.3269290620863146e-05,↑,-3.1219760405355124,0.001796415578576127,↓
EE,-3.9964361599975478,6.430321215988855e-05,↓,4.594750978576835,4.332663667838688e-06,↑,5.530576720457259,3.191796604795627e-08,↑,-5.699332182107827,1.2027765894373488e-08,↓
EG,-2.7691237116297787,0.005620728856429391,↓,-4.349288488903281,1.365799423536096e-05,↓,5.20840720276072,1.9046856691851133e-07,↑,-4.441336922530864,8.940168690241279e-06,↓
EH,-0.09971913642988123,0.9205673075936782,=,4.379971300112476,1.186949406783988e-05,↑,-1.933017106179236,0.053234090543647916,=,,,=
ER,-4.487361139344655,7.211078183688713e-06,↓,-5.4538696924342736,4.928532404413488e-08,↓,3.4134627470228573,0.0006414292719272296,↑,,,=
