iso3,iso2,status,rows,start,end,failures,file,note
DOM,DO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DOM.csv,no_recent_data_30d
DZA,DZ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\DZA.csv,no_recent_data_30d
ECU,EC,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ECU.csv,no_recent_data_30d
EGY,EG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\EGY.csv,no_recent_data_30d
ERI,ER,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ERI.csv,no_recent_data_30d
ESH,EH,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ESH.csv,no_recent_data_30d
ESP,ES,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ESP.csv,no_recent_data_30d
EST,EE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\EST.csv,no_recent_data_30d
ETH,ET,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\ETH.csv,no_recent_data_30d
FIN,FI,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FIN.csv,no_recent_data_30d
FJI,FJ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FJI.csv,no_recent_data_30d
FLK,FK,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FLK.csv,no_recent_data_30d
FRA,FR,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FRA.csv,no_recent_data_30d
FRO,FO,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FRO.csv,no_recent_data_30d
FSM,FM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\FSM.csv,no_recent_data_30d
GAB,GA,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GAB.csv,no_recent_data_30d
GBR,GB,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GBR.csv,no_recent_data_30d
GEO,GE,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GEO.csv,no_recent_data_30d
GGY,GG,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GGY.csv,no_recent_data_30d
GHA,GH,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GHA.csv,no_recent_data_30d
GIB,GI,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GIB.csv,no_recent_data_30d
GIN,GN,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GIN.csv,no_recent_data_30d
GLP,GP,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GLP.csv,no_recent_data_30d
GMB,GM,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GMB.csv,no_recent_data_30d
GNB,GW,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GNB.csv,no_recent_data_30d
GNQ,GQ,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GNQ.csv,no_recent_data_30d
GRC,GR,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GRC.csv,no_recent_data_30d
GRD,GD,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GRD.csv,no_recent_data_30d
GRL,GL,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GRL.csv,no_recent_data_30d
GTM,GT,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GTM.csv,no_recent_data_30d
GUF,GF,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GUF.csv,no_recent_data_30d
GUM,GU,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GUM.csv,no_recent_data_30d
GUY,GY,NO_COVERAGE,0,2025-09-29T00:00:00Z,2026-03-24T00:00:00Z,0,E:\Webscraping\cloudflare_radar_vulnerabilite\scripts\outputs_regions_world\data\GUY.csv,no_recent_data_30d
