date,country_iso2,chrome,safari,edge,firefox,samsung,opera,ucbrowser,yandex,brave,coccoc
2025-11-24 00:00:00+00:00,AP,,,,,,,,,,
2025-12-01 00:00:00+00:00,AP,,,,,,,,,,
2025-12-08 00:00:00+00:00,AP,,,,,,,,,,
2025-12-15 00:00:00+00:00,AP,,,,,,,,,,
2025-12-22 00:00:00+00:00,AP,,,,,,,,,,
2025-12-29 00:00:00+00:00,AP,,,,,,,,,,
2026-01-05 00:00:00+00:00,AP,,,,,,,,,,
2026-01-12 00:00:00+00:00,AP,,,,,,,,,,
2026-01-19 00:00:00+00:00,AP,,,,,,,,,,
2026-01-26 00:00:00+00:00,AP,,,,,,,,,,
2026-02-02 00:00:00+00:00,AP,,,,,,,,,,
2026-02-09 00:00:00+00:00,AP,,,,,,,,,,
2026-02-16 00:00:00+00:00,AP,,,,,,,,,,
2026-02-23 00:00:00+00:00,AP,,,,,,,,,,
2026-03-02 00:00:00+00:00,AP,,,,,,,,,,
2026-03-09 00:00:00+00:00,AP,,,,,,,,,,
2026-03-16 00:00:00+00:00,AP,,,,,,,,,,
2026-03-23 00:00:00+00:00,AP,,,,,,,,,,
2026-03-30 00:00:00+00:00,AP,,,,,,,,,,
2026-04-06 00:00:00+00:00,AP,,,,,,,,,,
2026-04-13 00:00:00+00:00,AP,,,,,,,,,,
2026-04-20 00:00:00+00:00,AP,,,,,,,,,,
2026-04-27 00:00:00+00:00,AP,,,,,,,,,,
2026-05-04 00:00:00+00:00,AP,,,,,,,,,,
2026-05-11 00:00:00+00:00,AP,,,,,,,,,,
2026-05-18 00:00:00+00:00,AP,,,,,,,,,,
2026-05-25 00:00:00+00:00,AP,,,,,,,,,,
2026-06-01 00:00:00+00:00,AP,,,,,,,,,,
2026-06-08 00:00:00+00:00,AP,,,,,,,,,,
2025-06-09 00:00:00+00:00,AQ,93.589744,1.602564,2.564103,1.602564,0.320513,0.0,0.320513,0.0,0.0,0.0
2025-06-16 00:00:00+00:00,AQ,87.925697,1.547988,1.857585,8.668731,0.0,0.0,0.0,0.0,0.0,0.0
