country,tls13,ipv6,http3,gdp,income
SJ,71.89193813207548,34.04789626415094,19.13266658490566,,
SK,66.21856849056604,10.318309641509433,29.909565226415097,24614.8734642794,HIC
SL,68.47709375471698,3.1344519056603772,20.207484075471697,758.329137378248,
SM,61.5491788490566,1.5859533018867924,31.910476830188678,59879.7173015651,
SN,65.56496939622642,25.398952981132076,25.351018075471696,1698.03387300843,
SO,53.466929867924534,0.9679134150943396,38.71559639622642,596.885985135589,
SR,70.31514698113207,40.90039152830188,25.450631660377358,5521.97602122638,
SS,68.55216979245283,17.265400490566037,21.417744056603773,,
ST,62.77666054716981,3.0552746603773584,24.004391811320755,2990.6606143535,
SV,69.79476611320754,16.505828471698113,25.89725688679245,5365.44491399171,
SX,66.17258449056604,26.950765811320753,27.42112216981132,39451.8223361963,
SY,72.09705443396226,0.44976541509433965,17.414255641509435,,
SZ,69.71766928301888,2.0075764150943396,25.059742150943396,3755.52111232464,
TC,67.29621064150943,23.621335000000002,27.300370377358494,35470.2151608295,
TD,66.80693556603774,12.40270062264151,18.072781584905663,949.333453674592,
TF,80.73054713207547,97.99547528301886,0.636372924528302,,
TG,61.80710958490566,20.477238150943396,22.838055811320753,1055.01727877926,
TH,62.45566309433963,42.53935258490566,32.68882203773585,7195.10130919449,UMC
TJ,60.66719501886792,0.3317985849056604,28.666634584905662,1178.47990060249,
TK,67.8693707735849,33.694910830188675,22.796822773584903,,
TL,57.027679849056604,6.265428018867924,31.173505849056603,1502.41147438211,
TM,62.79689541509434,0.024096830188679245,35.288951245283016,6231.91323839698,
TN,58.95651366037736,16.89418845283019,34.63249505660377,3951.11683376921,
TO,69.29046994339622,28.374768264150944,25.180899490566038,5651.59373063157,
TR,64.6877351509434,15.299316547169813,25.50939396226415,13375.0947282864,UMC
TT,61.04383958490566,23.84074150943396,29.071805735849058,18308.4536298575,
TV,70.22971566037737,61.537958811320756,22.295280358490565,6344.7750188689,
TW,60.94427218867924,37.09967267924529,30.877710471698116,,HIC
TZ,63.39914279245283,1.1538548113207547,26.677403132075472,1224.00219726563,LIC
UA,56.469850283018864,9.715099943396227,34.435783037735845,5139.59814453125,
UG,64.16794479245283,2.018935283018868,28.74605296226415,1002.30913917142,LIC
UM,62.74372296226415,93.6318385471698,24.25051383018868,,
US,74.4217040754717,29.137216320754717,16.18097766037736,81032.262117545,HIC
UY,64.08139167924529,52.3416380754717,29.74573483018868,23019.4221560046,
UZ,62.692910867924525,8.964858584905661,29.598266000000002,2878.96879292451,
VA,68.33527173584905,12.187815301886792,20.917929528301887,,
VC,66.92940649056604,3.7521336792452833,27.5739000754717,10582.3656725229,
VE,68.30034843396227,4.612485566037736,24.902286735849056,3617.43594578269,
VG,67.37585079245282,17.257321509433964,26.877203735849058,,
VI,63.59092879245283,13.651504320754716,30.348575018867926,,
VN,69.33048805660377,40.611234622641504,25.433913396226416,4323.35031982451,LMC
VU,62.01690079245283,14.114047905660376,29.368568867924527,3482.61458237637,
WF,61.64395398113208,8.74227703773585,33.34883362264151,,
WS,59.12537856603773,7.690794433962264,33.12560120754717,4822.74084650019,
XK,57.58435350943397,4.063605075471698,23.316513886792453,6221.20618847799,
YE,77.87519301886792,2.1461218490566036,11.771912811320755,,
YT,62.73371437735849,23.91046941509434,30.827721773584905,,
ZA,67.3476858490566,2.7590666415094343,27.292225037735847,6034.27208964673,UMC
ZM,62.310943962264155,4.047280113207547,28.1910579245283,1330.72780576709,
ZW,73.03454045283019,15.53481883018868,17.55646586792453,2195.22492079245,
