date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2025-06-23 00:00:00+00:00,43.271082,60.365679,84.493954,DZ,DZA,2025,6
2025-06-30 00:00:00+00:00,43.009831,60.460278,83.876205,DZ,DZA,2025,6
2025-07-07 00:00:00+00:00,43.769409,62.032536,86.156875,DZ,DZA,2025,7
2025-07-14 00:00:00+00:00,50.39335,69.444586,94.826928,DZ,DZA,2025,7
2025-07-21 00:00:00+00:00,44.478268,62.110365,86.577598,DZ,DZA,2025,7
2025-07-28 00:00:00+00:00,43.846035,60.560484,83.589295,DZ,DZA,2025,7
2025-08-04 00:00:00+00:00,44.838281,61.911527,86.090468,DZ,DZA,2025,8
2025-08-11 00:00:00+00:00,47.099127,64.724426,88.015015,DZ,DZA,2025,8
2025-08-18 00:00:00+00:00,45.655345,63.588295,87.155364,DZ,DZA,2025,8
2025-08-25 00:00:00+00:00,46.729596,64.297548,87.889605,DZ,DZA,2025,8
2025-09-01 00:00:00+00:00,46.48149,63.893602,88.047638,DZ,DZA,2025,9
2025-09-08 00:00:00+00:00,46.659879,64.323516,89.12594,DZ,DZA,2025,9
2025-09-15 00:00:00+00:00,45.873509,64.630259,91.639987,DZ,DZA,2025,9
2025-09-22 00:00:00+00:00,47.63841,65.886583,92.548731,DZ,DZA,2025,9
2025-09-29 00:00:00+00:00,46.261843,64.307418,92.636341,DZ,DZA,2025,9
2025-10-06 00:00:00+00:00,47.512024,65.191354,93.056701,DZ,DZA,2025,10
2025-10-13 00:00:00+00:00,48.312645,66.757404,95.449194,DZ,DZA,2025,10
2025-10-20 00:00:00+00:00,47.4363,65.236955,90.203898,DZ,DZA,2025,10
2025-10-27 00:00:00+00:00,47.705356,65.646202,90.363167,DZ,DZA,2025,10
2025-11-03 00:00:00+00:00,49.178149,66.906774,92.684946,DZ,DZA,2025,11
2025-11-10 00:00:00+00:00,48.514112,66.165371,92.254215,DZ,DZA,2025,11
2025-11-17 00:00:00+00:00,46.361043,63.597668,89.043886,DZ,DZA,2025,11
2025-11-24 00:00:00+00:00,45.791739,62.859645,87.714259,DZ,DZA,2025,11
2025-12-01 00:00:00+00:00,47.630509,65.208933,91.540369,DZ,DZA,2025,12
2025-12-08 00:00:00+00:00,45.821112,62.48996,87.006272,DZ,DZA,2025,12
2024-12-09 00:00:00+00:00,108.048895,125.291198,240.555128,AS,ASM,2024,12
2024-12-16 00:00:00+00:00,114.165604,142.696713,227.964234,AS,ASM,2024,12
2024-12-23 00:00:00+00:00,108.771267,115.751042,189.790192,AS,ASM,2024,12
2024-12-30 00:00:00+00:00,102.448556,110.934497,198.420845,AS,ASM,2024,12
2025-01-06 00:00:00+00:00,104.239708,113.985057,187.186074,AS,ASM,2025,1
2025-01-13 00:00:00+00:00,103.226483,114.734702,184.912581,AS,ASM,2025,1
2025-01-20 00:00:00+00:00,115.070961,137.658712,220.538596,AS,ASM,2025,1
2025-01-27 00:00:00+00:00,102.558516,110.674707,188.970778,AS,ASM,2025,1
2025-02-03 00:00:00+00:00,102.924016,111.240489,202.671159,AS,ASM,2025,2
2025-02-10 00:00:00+00:00,100.700902,111.173671,189.146101,AS,ASM,2025,2
2025-02-17 00:00:00+00:00,108.880083,121.099868,225.543388,AS,ASM,2025,2
2025-02-24 00:00:00+00:00,103.678412,113.945552,223.535071,AS,ASM,2025,2
2025-03-03 00:00:00+00:00,104.980905,118.466272,205.85117,AS,ASM,2025,3
2025-03-10 00:00:00+00:00,104.528435,133.296106,199.074425,AS,ASM,2025,3
2025-03-17 00:00:00+00:00,102.849748,113.205937,196.889287,AS,ASM,2025,3
2025-03-24 00:00:00+00:00,100.435054,107.270215,121.396983,AS,ASM,2025,3
2025-03-31 00:00:00+00:00,101.231325,113.002745,181.046258,AS,ASM,2025,3
2025-04-07 00:00:00+00:00,103.369088,114.802019,173.131598,AS,ASM,2025,4
2025-04-14 00:00:00+00:00,102.858903,107.245081,138.238273,AS,ASM,2025,4
2025-04-21 00:00:00+00:00,104.044748,113.399575,159.098802,AS,ASM,2025,4
2025-04-28 00:00:00+00:00,102.610753,112.03419,175.117386,AS,ASM,2025,4
2025-05-05 00:00:00+00:00,103.183882,113.492739,173.038368,AS,ASM,2025,5
2025-05-12 00:00:00+00:00,103.135503,122.223987,198.376747,AS,ASM,2025,5
2025-05-19 00:00:00+00:00,111.513728,139.871179,214.500161,AS,ASM,2025,5
2025-05-26 00:00:00+00:00,114.571735,162.989836,229.566868,AS,ASM,2025,5
2025-06-02 00:00:00+00:00,102.615971,113.782403,249.116939,AS,ASM,2025,6
2025-06-09 00:00:00+00:00,59.25,63.5,73.75,AS,ASM,2025,6
2025-06-16 00:00:00+00:00,124.0,128.0,137.0,AS,ASM,2025,6
2025-06-23 00:00:00+00:00,133.75,140.0,248.5,AS,ASM,2025,6
2025-06-30 00:00:00+00:00,138.007031,152.221955,158.419655,AS,ASM,2025,6
2025-07-07 00:00:00+00:00,157.997607,190.000584,244.489729,AS,ASM,2025,7
2025-07-14 00:00:00+00:00,118.117889,125.741261,243.09013,AS,ASM,2025,7
2025-07-21 00:00:00+00:00,119.036712,120.405804,122.089061,AS,ASM,2025,7
2025-07-28 00:00:00+00:00,129.509409,133.825322,138.089129,AS,ASM,2025,7
2025-08-04 00:00:00+00:00,109.5,121.0,233.0,AS,ASM,2025,8
2025-08-11 00:00:00+00:00,150.854364,173.370515,231.892912,AS,ASM,2025,8
2025-08-18 00:00:00+00:00,147.964853,159.552635,180.755874,AS,ASM,2025,8
2025-08-25 00:00:00+00:00,121.386976,141.388631,183.277622,AS,ASM,2025,8
2025-09-01 00:00:00+00:00,125.637529,163.663944,238.646658,AS,ASM,2025,9
2025-09-08 00:00:00+00:00,108.428831,117.699846,181.273303,AS,ASM,2025,9
