country,tls13,ipv6,http3,iqi_p50,region,cluster,cluster_label,pc1,pc2
FK,75.19980818867924,21.26634581132076,11.50796803773585,9.183063357142856,Other,1,En transition,-1.9830057033319863,-1.1324392728532682
FM,59.09226030188679,16.213365056603774,35.63836815094339,6.872141169811321,Other,0,En transition,1.7516259960636045,0.005307002893509233
FO,62.23040939622641,3.180618320754717,33.05215745283019,15.54993816981132,Other,0,En transition,1.3235317839488716,0.0825478806112323
FR,71.74437005660377,49.8670530754717,22.135041396226413,33.13926564150943,EU-West,1,En transition,-1.681459578506457,1.7005377355039573
GA,68.4615348490566,20.662014509433963,22.847729679245283,4.347664037735849,Other,0,En transition,-0.2782849071001999,-0.8428418879760694
GB,70.48456884905661,30.794659226415096,21.914372264150945,31.10107635849057,EU-West,1,En transition,-1.1909136029293834,1.1362548466572238
GD,70.35090383018867,9.40152520754717,24.607817132075475,8.355509452830189,Other,0,En transition,-0.17209952502444406,-0.8481564827765347
GE,53.84946405660378,9.48282120754717,36.24715452830189,11.224076566037734,Other,0,En transition,2.363070033674092,0.35295732524105594
GF,65.28336220754717,22.568057509433963,29.41943558490566,7.517822,Other,0,En transition,0.496920628310739,-0.23614677544259974
GG,65.98548552830188,4.775552396226415,25.25312881132076,27.522425528301888,Other,0,En transition,0.06913979988363561,0.5383844303381884
GH,69.51778754716982,2.0240597924528303,24.659055792452836,5.317602056603773,Africa,0,En transition,0.10059537264098775,-1.20378952513699
GI,94.08818511320754,0.173918396226415,2.836863547169812,30.373793679245285,Other,1,En transition,-4.5152126961883665,-1.1730808903657457
GL,57.30284064150944,2.3582702264150943,26.783156113207543,6.62105620754717,Other,0,En transition,1.4373296454330988,-0.5886627804691914
GM,77.6716260754717,0.4402833396226415,13.850508132075472,7.484394452830189,Other,1,En transition,-1.6112452616632538,-1.7629998702706888
GN,72.08238467924528,0.5788274150943395,15.679026320754716,3.762802867924528,Other,1,En transition,-0.8542916136592676,-1.7491494509575896
GP,65.90102450943397,11.620461150943395,30.20130756603773,10.081560679245284,Other,0,En transition,0.6623526397124412,-0.32071893216340686
GQ,70.33631435849057,0.3221477358490566,13.002180849056604,3.6139350188679247,Other,1,En transition,-0.9038220034343373,-1.794601993860265
GR,58.21144439622641,47.27931415094339,37.02636064150944,17.140152811320753,EU-West,0,En transition,1.2072375800517268,1.5442533565178778
GS,73.26444673584905,81.55248837735849,0.6316589433962264,,Other,1,En transition,-3.8425784205498346,0.07883572691641016
GT,72.9954419245283,46.82447839622641,22.40587405660377,9.66938579245283,Other,1,En transition,-1.3288765428578544,-0.022857937281943477
GU,59.72210998113207,5.490663528301887,35.4375841509434,9.697261528301889,Other,0,En transition,1.8242757973391606,-0.09023194456535079
GW,72.75533850943395,1.742326924528302,12.61561037735849,4.853688283018868,Other,1,En transition,-1.2183487340788342,-1.776234788583887
GY,69.25003254716981,24.85517667924528,25.21087622641509,6.807860584905661,Other,0,En transition,-0.2740134776413166,-0.5190914535029507
HK,80.38838335849057,3.68019741509434,9.670954113207546,54.029077716981135,APAC-Dev,1,En transition,-3.0710329325923458,1.2722732031180142
